"Period","Site","mean_cover","sd","Year","n","pct.chg","pre.bl"
"Pre","Aldabra",23.5,9.2,2015,2,NA,"23.5 ± 9.2"
"Post","Aldabra",10.7,4.2,2016,2,-54.5,"10.7 ± 4.2"
"Pre","Alphonse",54.2,9,2016,6,NA,"54.2 ± 9"
"Post","Alphonse",47.2,19.3,2016,6,-12.9,"47.2 ± 19.3"
"Pre","Cerf Island",37,12.5,2016,3,NA,"37 ± 12.5"
"Post","Cerf Island",49,13.7,2017,3,32.4,"49 ± 13.7"
"Pre","Desroches",44.3,43.9,2015,3,NA,"44.3 ± 43.9"
"Post","Desroches",20.4,6.9,2016,3,-54,"20.4 ± 6.9"
"Pre","Mahe NW",31.3,13.6,2016,24,NA,"31.3 ± 13.6"
"Post","Mahe NW",14.8,6.3,2017,24,-52.7,"14.8 ± 6.3"
"Pre","North Reef",43,26.3,2015,5,NA,"43 ± 26.3"
"Post","North Reef",8,4.9,2016,5,-81.4,"8 ± 4.9"
