Period,Year,cover_HC,se_HC,cover_FA,se_FA,n
Pre,1992,52,11.5,0,0,3
Pre,1993,35,NA,1,NA,1
Pre,1994,51,6.2,1,0.6,3
Pre,1995,41,NA,3,NA,1
Pre,1996,53.2,NA,17.3,5.1,7
Pre,1997,49,2.6,0,0,3
Pre,1998,45,2.5,2,1,3
Pre,1999,32,6,5.6,2.5,7
Pre,2000,46.3,3.9,2,2,3
Pre,2001,24,7.5,26.4,10.2,8
Pre,2002,50,1.5,1,1,3
Pre,2003,26.5,7.1,35.2,12.8,8
Pre,2004,22,NA,37.9,7.1,15
Pre,2005,20,2,24,4.1,43
Pre,2006,18,1.7,22.8,4.2,43
Pre,2007,25.7,2.1,17,3.4,40
Pre,2008,27.9,1.8,15.4,3.5,40
Pre,2009,25,1.8,20.4,3.9,32
Pre,2010,33,1.9,20.6,3.6,40
Pre,2011,34.2,1.8,18.4,3.6,40
Pre,2012,35.6,2.2,19.9,3.9,41
Pre,2013,36.7,2.3,14.2,3.1,40
Pre,2014,32,2.5,17.7,3.6,49
Pre,2015,40.6,2.9,7.4,1.6,43
Pre,2016,43.3,2.6,20.8,2.7,72
Post,2016,31.9,3.6,21.5,4,27
Post,2017,34.1,1.8,25.7,2.1,114
